Date,Open,High,Low,Close,Volume,Market Cap
2024-09-09,54885.6735,55585.8705,54577.104,55277.4629,3922,1085390277573.522
2024-09-08,54171.2551,55328.6738,53630.8434,54889.4399,6472,1068954727890.204
2024-09-07,53986.9493,54892.5449,53775.098,54186.2042,6160,1065462041080.5197
2024-09-06,56174.8742,57004.0633,52555.1342,53967.3797,26159,1109212553022.4158
2024-09-05,57989.7989,58337.9216,55647.8231,56178.0057,17146,1144983177152.221
2024-09-04,57488.1125,58539.4158,55614.8874,57984.8918,19553,1137361604370.578
2024-09-03,59149.6963,59832.8527,57415.1733,57492.6503,11722,1168410293915.9832
2024-09-02,57309.4442,59438.0155,57145.0766,59156.9152,7404,1133133027660.6194
2024-09-01,58997.9922,59091.9871,57222.6019,57330.0059,7848,1164278309271.2642
2024-08-31,59164.2356,59488.7069,58793.6445,59017.4228,3079,1168247205700.9673
2024-08-30,59377.4639,59946.9453,57728.1134,59137.3628,14300,1171762256043.917
2024-08-29,59052.0793,61196.4107,58739.2547,59375.5798,15403,1166032395735.947
2024-08-28,59442.8476,60234.4299,57867.9188,59048.7648,15011,1176762244308.0742
2024-08-27,62792.0244,63231.0873,58044.8491,59445.3731,19005,1242487823611.2612
2024-08-26,64272.1464,64505.9795,62844.2731,62872.2651,2772,1269291077270.1145
2024-08-25,64185.4726,65105.8167,63834.2012,64282.8296,1504,1264961887998.9824
2024-08-24,64100.5863,64517.081,63613.7813,64182.4397,1792,1261916434075.0183
2024-08-23,60397.0878,64991.6888,60371.1148,64094.485,6064,1192308382713.838
2024-08-22,61177.734,61421.0982,59783.3383,60394.3551,3437,1207099049402.5117
2024-08-21,59027.9017,61262.0669,58813.0805,61013.2536,13225,1166088863323.0896
2024-08-20,59467.7773,61448.1425,58579.8242,59027.5628,16294,1176063402361.815
2024-08-19,58440.4816,59637.5259,57832.9159,59466.3077,11763,1156217205294.1643
2024-08-18,59501.692,60281.4216,58429.8529,58445.6424,6661,1173270497431.1711
2024-08-17,58891.4061,59711.006,58814.3936,59497.6669,4049,1162716063850.1133
2024-08-16,57547.2765,59865.0578,57100.1509,58891.0516,16280,1137141836825.8655
2024-08-15,58695.4221,59878.2789,56128.4849,57548.4441,20246,1159479277227.7532
2024-08-14,60607.0322,61824.3355,58461.569,58697.0327,18192,1195798013190.8457
2024-08-13,59363.3095,61609.3385,58426.1508,60609.9374,16131,1171441797233.8909
2024-08-12,58721.3915,60714.7154,57663.5495,59362.954,17573,1159146815397.6223
2024-08-11,60941.3089,61866.3962,58319.9732,58726.9612,7778,1201818989571.278
2024-08-10,60861.8993,61492.8484,60264.2315,60942.3369,4723,1198300504959.2505
2024-08-09,61710.6346,61760.0402,59558.9783,60863.4492,15500,1218342891278.6091
2024-08-08,55143.8428,62746.7327,54746.9208,61708.9951,28481,1088566703585.4304
2024-08-07,56053.5599,57754.532,54569.3721,55144.7624,20453,1104019419316.6863
2024-08-06,54044.8896,57090.2297,53978.6579,56058.9661,21234,1064889039013.8289
2024-08-05,58136.5648,58287.1297,49119.8297,54037.0218,81896,1147854905921.6433
2024-08-04,60681.4917,61083.9514,57141.0091,58135.2401,14551,1197962170718.7737
2024-08-03,61426.6224,62170.2821,59836.467,60686.7443,11985,1211854070245.47
2024-08-02,65302.7842,65559.4327,61162.9736,61424.1606,21837,1289157073527.528
