Date,Open,High,Low,Close,Volume,Market Cap
2024-09-04,57488.1125,58539.4158,55614.8874,57984.8918,19553,1137361604370.578
2024-08-29,59052.0793,61196.4107,58739.2547,59375.5798,15403,1166032395735.947
2024-08-16,57547.2765,59865.0578,57100.1509,58891.0516,16280,1137141836825.8655
2024-08-13,59363.3095,61609.3385,58426.1508,60609.9374,16131,1171441797233.8909
2024-08-12,58721.3915,60714.7154,57663.5495,59362.954,17573,1159146815397.6223
2024-08-08,55143.8428,62746.7327,54746.9208,61708.9951,28481,1088566703585.4304
2024-08-06,54044.8896,57090.2297,53978.6579,56058.9661,21234,1064889039013.8289
2024-08-01,64617.9204,65596.3961,62230.3209,65301.804,21769,1275401473742.0508
2024-07-25,65370.3687,66159.9848,63423.8517,65799.2439,14849,1290447066028.3152
2024-07-19,63980.0903,67493.6398,63300.1956,66711.1001,20573,1261456293182.2588
2024-07-16,64763.3036,65367.6664,62425.675,65089.7077,20571,1277806993830.5176
2024-07-15,60814.5227,64942.3011,60679.629,64766.8665,27666,1204059167828.704
2024-07-12,57352.6243,58554.4631,56549.4358,57916.0356,14854,1130276546536.143
2024-07-09,56714.7773,58301.0296,56297.0214,58055.7414,16724,1117615464651.686
2024-07-08,55864.3083,58207.9795,54297.2586,56712.7571,25909,1100452083927.7026
2024-07-01,62680.1992,63805.4658,62459.8882,62836.6611,16173,1236676710888.4822
2024-06-25,60269.3222,62403.3041,60228.4261,61797.4022,21352,1188964670369.4043
2024-06-12,67316.5113,70026.5463,66889.8011,68248.5054,22272,1327665028180.276
2024-06-04,68794.7811,71101.5573,68548.3679,70547.8996,22694,1355484820107.0864
2024-06-03,67739.0324,70286.0356,67577.7899,68797.486,16664,1335930570689.7126
